descricao,ano_criacao,periodo_criacao,componentes,ch_matriz
Tecnologia em Sistemas de Telecomunicações - João Pessoa,2000,1,"Álgebra Vetorial - EE, Cálculo Diferencial e Integral I - EE, Eletricidade e Magnetismo, Eletrônica Básica, Inglês instrumental e Técnico, Lógica de Programação e Algorítimos, Campos e Ondas, Circuitos Lógicos - EE, Eletrônica Analógica, Matemática Aplicada, Programação Estruturada, Algebra Linear TLC, Análise de Circuitos Eletrônicos, Fundamentos da Metodologia Científica TLC, Métodos Numéricos, Sistemas de Comunicação, Teoria da Estatística, Estruturas Guiantes e Dispositivos de Microondas, Gestão de Projetos TLC, Introdução às Redes de Computadores, Métodos e Técnicas de Pesquisa TLC, Processamento Digital de Sinais - EE, Teoria da Informação, Antenas e Propagação TLC, Comunicações Digitais, Comunicações Ópticas, Protocolos e Interconexão de Redes de Computadores, Sistemas de Radiodifusão - EE, Cabeamento Estruturado, Comunicações Móveis, Empreendedorismo TLC, Legislação em Telecomunicações, Projetos de Sistemas de Comunicação, Psicologia do Trabalho, Telefonia TLC",2565
Tecnologia em Design de Interiores - João Pessoa,2000,1,"Cor, Desenho de Observação, Desenho Técnico DI, História do Design, Organização espacial, Plástica, Desenho Arquitetônico DI, Desenho Perspectivo, Ergonomia, História da Arte e da Arquitetura, Metodologia de Projetos, Modelos e Maquetes, Conforto Térmico DI, Detalhamento de Projetos DI, História do Mobiliário, Instalações Prediais, Materiais DI, Projetos de Interiores Residenciais DI, CAD 2D DI, Cultura Brasileira DI, Ecodesign DI, Iluminação DI, Projetos de Interiores Comerciais e de Serviços, Acústica DI, CAD 3D DI, Metodologia Científica DI, Orçamento e Gerenciamento de Obras DI, Projetos de Interiores Institucionais DI, Formação de Empreendedores, Prática e Ética Profissional, Tratamento Informatizado de Imagens, Libras DI",1999
Tecnologia em Sistemas para Internet - João Pessoa - PPC 2011,2003,1,"Algoritmo e Programação Estruturada, Fundamentos da Computação - SI, Fundamentos de Redes de Computadores, Linguagens de Marcação, Língua Portuguesa - SI, Matemática Aplicada a Sistemas para Internet, Banco de Dados I, Estruturas de Dados, Fundamentos da Metodologia, Linguagens de Script, Protocolos de Interconexão de Redes de Computadores, Sistemas Operacionais, Banco de Dados II, Interação Humano-Computador, Língua Inglesa para Fins Específicos SI, Probabilidade e Estatística, Programação Orientada a Objetos, Psicologia do Trabalho SI, Análise e Projeto de Sistemas, Legislação Social SI, Métodos e Técnicas de Pesquisa SI, Persistência de Objetos, Programação para Web I, Segurança de Dados, Comércio Eletrônico - SI, Empreendedorismo SI, Gerência de Projetos de Software, Padrões de Projeto de Software, Programação para Dispositivos Móveis, Programação para Web II, Desenvolvimento Ágil com Ferramenta RAD, Desenvolvimento e Execução de Projeto de Software, Inteligência Empresarial, Programação Distribuída, Tópicos Especiais, Libras SI",2369
Tecnologia em Redes de Computadores - João Pessoa - PPC 2011,1999,1,"Algoritmo e Programação Estruturada - RC, Cálculo Diferencial e Integral I - RC, Eletrônica Digital - RC, Fundamentos da Computação - RC, Inglês Instrumental - RC, Práticas de Sistemas Abertos, Arquitetura de Computadores - RC, Estruturas de Dados - RC, Física Aplicada à Computação - RC, Fundamentos de Redes de Computadores - RC, Laboratório de Redes de Computadores, Português Instrumental - RC, Fundamentos da Metodologia Científica - RC, Legislação para Informática - RC, Programação de Script, Programação Orientada a Objetos - RC, Protocolos de Interconexão de Redes de Computadores - RC, Sistemas Operacionais - RC, Administração de Sistemas Abertos, Arquitetura de Sistemas de Comunicação - RC, Cabeamento Estruturado - RC, Desenvolvimento Web, Probabilidade e Estatística - RC, Administração de Ativos de Redes, Administração de Sistemas Proprietários, Métodos e Técnicas de Pesquisa - RC, Psicologia do Trabalho - RC, Redes sem Fio, Segurança de Redes de Computadores - RC, Empreendedorismo - RC, Prática em Segurança de Redes, Projetos de Redes de Computadores, Redes Convergentes, Libras",2317
Licenciatura em Química - João Pessoa - PPC2011,2003,2,"Estrutura e Funcionamento da Educação Básica, Filosofia da Educação, Matemática Básica, Prática Profissional I, Psicologia da Educação, Química Experimental I, Química Geral I, Cálculo Aplicado à Química, Didática I, Fundamentos de Álgebra, Libras I, Prática Profissional II, Química Experimental II, Química Geral II, Didática II, Física Aplicada à Química I, Fundamentos e Práticas Pedagógica na EJA, Libras II, Planejamento, Português Instrumental, Prática Profissional III, Química Inorgânica I, Estágio Supervisionado, Física Aplicada à Química II, Fundamentos de Metodologia Científica, Prática Profissional IV, Química Inorgânica II, Química Orgânica I, Quimiometria, Estágio Supervisionado 5P, Físico-Química I, Laboratório com Materiais Alternativos I, Metodologia do Ensino de Química, Métodos e Técnicas de Pesquisa, Prática Profissional V, Química Orgânica II, Estágio Supervisionado 6P, Físico-Química II, História das Ciências, Inglês Instrumental, Laboratório com Materiais Alternativos II, Prática Profissional VI, Química Analítica Qualitativa, Trabalho de Conclusão de Curso I, Bioquímica, Processos Industriais, Química Ambiental, Química Analítica Quantitativa, Química Computacional, Seminário de Educação, Trabalho de Conclusão de Curso II",3411
Tecnologia em Automação Industrial - João Pessoa PPC2011,2004,2,"Cálculo Diferencial e Integral I - EE, Desenho Técnico e Metrologia, Eletricidade, Inglês Instrumental, Português Instrumental, Sistemas Digitais - EE, Tecnologia da Usinagem, Algoritmo e Lógica de Programação, Circuitos Eletrônicos Analógicos, Desenho Auxiliado por Computador, Física Aplicada à Automação, Fundamentos da Metodologia Científica, Instalações Élétricas de Baixa Tensão, Matemática Aplicada à Automação, Elementos de Máquinas, Eletrônica Industrial, Instrumentação Industrial, Máquinas Elétricas, Processos de Fabricação Mecânica, Sistemas Pneumáticos e Hidráulicos, Acionamento de Máquinas Elétricas, Administração da Produção, Eletrotécnica Industrial, Microcontroladores, Projeto Integrador Eletromecânica Industrial, Sistemas Eletro-Pneumáticos e Eletro-Hidráulicos, Teoria de Controle, CLP e Redes Industriais, Controle Digital, Gestão de Projetos, Informática Aplicada à Automação, Manufatura Integrada, Métodos e Técnicas das Pesquisa Científica, Automação de Processos Industriais, Empreendedorismo, Manutenção Industrial, Psicologia do Trabalho, Robótica, Libras",2668
Bacharelado em Administração - João Pessoa (2008.1),2008,1,"Comunicação Organizacional, Filosofia e Ética Profissional - ADM, Fundamentos da Administração - ADM, Informática Básica - ADM, Matemática Financeira - ADM, Matemática I, Sociologia Aplicada à Administração, Economia e Mercado, Estatística Básica, Inglês para Negócios, Matemática II, Psicologia Aplicada à Administração, Saúde e Trabalho, Teoria das Organizações, Administração de Pessoas, Contabilidade Geral - ADM, Economia Brasileira, Estatística Aplicada à Administração, Estratégia Organizacional - ADM, Gestão Ambiental, Organização, Sistemas e Métodos - ADM, Administração de Marketing, Administração de Produção - Operações de Manufatura e Serviços, Administração de Recursos Materiais e Patrimoniais, Introdução ao Direito Público e Privado UAG, Métodos e Técnicas de Pesquisa, Práticas de Pesquisa em Administração de Pessoas, Administração de Sistemas de Informação, Administração Financeira e Orçamentária, Contabilidade Gerencial, Legislação Social, Práticas de Pesquisa em Administração da Produção, Práticas de Pesquisa em Administração de Marketing, Desenvolvimento Organizacional, Gestão da Qualidade, Gestão da Saúde e Segurança do Trabalho, Pesquisa Operacional, Práticas de Pesquisa em Administração Financeira e Orçamentária, Práticas de Pesquisa em Recursos Materiais e Patrimoniais, Formação de Empreendedores, Gestão de Projetos, Jogos de Empresa, Políticas Públicas, Prática de Pesquisa em Administração de Sistema de Informação, Libras",2878
Tecnologia em Negócios Imobiliários - João Pessoa,2005,1,"Comunicação Organizacional, Fundamentos da Administração - ADM, Fundamentos da Construção Civil NI, Fundamentos da Metodologia da Pesquisa Científica, Fundamentos de Negócios Imobiliários, Informática Básica - ADM, Inglês Instrumental, Introdução ao Direito Público e Privado UAG, Direito e Legislação Imobiliária, Economia e Mercado NI, Fundamentos da Arquitetura, Legislação Social NI, Matemática Financeira NI, Planejamento Urbano, Psicologia do Trabalho NI, Administração de Marketing NI, Avaliação de Imóveis, Contabilidade Geral NI, Contratos Imobiliários, Financiamento Habitacional, Operações Imobiliárias, Tributação e Seguros Imobiliários, Administração de Condomínios, Administração de Pessoas NI, Análise Financeira e de Investimentos Imobiliários, Estratégias de Comercialização, Locação e Administração de Imóveis, Métodos e Técnicas de Pesquisa NI, Práticas de Pesquisa em Gestão de Negócios Imobiliários, Empreendedorismo NI, Trabalho de Conclusão de Curso, Libras NI",1854
Bacharelado em  Engenharia Elétrica - João Pessoa - PPC2015,2007,1,"Álgebra Vetorial - EE, Algoritmos e Lógica de Programação - EE, Cálculo Diferencial e Integral I - EE, Desenho Técnico - EE, Eletricidade Aplicada, Introdução à Engenharia Elétrica, Álgebra Linear - EE, Cálculo Diferencial e Integral II - EE, Circuitos Lógicos - EE, Física I - EE, Química Geral - EE, Técnicas de Programação, Cálculo Diferencial e Integral III - EE, Cálculo Numérico, Ciências do Ambiente, Eletricidade e Magnetismo - EE, Equações Diferenciais, Sistemas Digitais - EE, Arquitetura de Computadores - EE, Circuitos Elétricos I, Eletromagnetismo, Física II - EE, Probabilidade e Estatística - EE, Sinais e Sistemas, Circuitos Elétricos II, Eletrônica I, Fenômenos de Transportes, Materiais Elétricos, Sistemas de Controle I, Sistemas Microcontrolados, Conversão de Energia, Eletrônica II, Fundamentos de Redes de Computadores, Princípios de Comunicações, Processamento Digital de Sinais - EE, Instalações Elétricas Prediais - EE, Instrumentação Eletrônica, Máquinas Elétricas - EE, Protocolos de Interconexão de Redes de Computadores - RC, Cabeamento Estruturado - RC, Eletrônica de Potência - EE, Trabalho de Conclusão de Curso (TCC), Estágio Supervisionado em Engenharia Elétrica, Acionamentos Elétricos, Análise de Sistemas Elétricos, Antenas e Propagação - EE, Aquisição de Sinais Biológicos - EE, Circuitos Integrados Analógicos - EE, Circuitos Integrados de Radio-Frequência - EE, CLP e Redes Industriais, Comunicações Digitais - EE, Comunicações Ópticas - EE, Comunicações sem Fio - EE, Controle Avançado, Controle Digital, Controle Inteligente, Distribuição e Transmissão de Energia Elétrica, Economia e Mercado, Economia e Mercado, Empreendedorismo, Engenharia Clínica - EE, Equipamentos Biomédicos - EE, Equipamentos Elétricos - EE, Fundamentos da Metodologia Científica, Geração Distribuída de Energia Elétrica - EE, Gerenciamento de Energia - EE, Gestão de Projetos, Inglês Instrumental, Instalações Elétricas Industriais, Introdução ao Processamento de Dados, Legislação Social, Libras, Métodos e Técnicas de Pesquisa, Microondas - EE, Português Instrumental, Projeto de Subestações, Proteção de Sistemas Elétricos - EE, Psicologia do Trabalho, Qualidade da Energia Elétrica, Robótica, Saúde e Trabalho, Sistemas de Controle II, Sistemas de Radiodifusão - EE, Sociologia, TEEE em Eletrônica I, TEEE em Eletrônica I, TEEE em Eletrônica II, TEEE em Eletrônica II, TEEE em Eletrotécnica I, TEEE em Eletrotécnica I, TEEE em Eletrotécnica II, TEEE em Eletrotécnica II, TEEE em Telecomunicações I, TEEE em Telecomunicações I, TEEE em Telecomunicações II, TEEE em Telecomunicações II, Telefonia - EE, Teoria da Informação, TV Digital",3800
Tecnologia em Gestão Ambiental - João Pessoa,2009,1,"Ecologia Geral, Fundamentos da Gestão Ambiental, Geografia, Matemática Aplicada à Gestão Ambiental, Português Instrumental, Química Geral e Ambiental, Sociedade, Ética e Meio Ambiente, Direito  Ambiental, Estatística GA, Geoprocessamento, Gestão de Laboratórios, Hidrologia, Microbiologia Ambiental, Qualidade  Ambiental, Gestão de Recursos Hídricos, Inglês Instrumental GA, Metodologia da Pesquisa Científica, Recursos Energéticos, Saúde Ambiental, Sensoriamento Remoto, Sistema de Informações Geográficas  -  SIG, Técnicas  de  Análises Físicas  e  Químicas, Edafologia, Gerenciamento de Riscos Ambientais, Gestão de Água e Efluentes Líquidos, Gestão de Recursos Naturais, Interpolação Espacial GA, Licenciamento e Avaliação de Impactos, Zoneamento Ambiental, Administração de Sistemas de Informação GA, Economia do Meio Ambiente, Estratégias de Educação Ambiental, Gestão Ambiental nas Cidades, Gestão de Resíduos Sólidos, Projetos Ambientais, Psicologia do Trabalho GA, Certificação e Auditoria Ambiental, Empreendedorismo GA, Libras",1982
Licenciatura em Letras a Distância com Habilitação em Língua Portuguesa - João Pessoa - PPC 2012,2012,2,"Fundamentos da Educação a Distância, História da Educação Brasileira, Informática Básica, Inglês Instrumental, Introdução à Linguística, Introdução aos Estudos Literários, Leitura e Produção de Texto I, Filosofia da Educação, Fundamentos da Linguística Românica, Linguística I, Literatura e Ensino, Morfologia da Língua Portuguesa, Seminário Interdisciplinar I, Teoria Literária I, História da Língua Portuguesa, Linguística II, Literatura Brasileira I, Literatura Portuguesa I, Psicologia da Aprendizagem, Seminário Interdisciplinar II, Teoria Literária II, Aquisição da Linguagem, Didática, Fonética e Fonologia da Língua Portuguesa, Literatura Brasileira II, Literatura Portuguesa II, Metodologia do Ensino de Língua Portuguesa, Seminário Interdisciplinar III, Leitura e Produção de Texto II, Literatura Brasileira III, Metodologia do Ensino de Literatura, Morfossintaxe, Orientação de Estágio Supervisionado I, Semântica da Língua Portuguesa, Seminário Interdisciplinar IV, Educação Inclusiva, Literatura Brasileira IV, Literatura e Cultura Popular, Literaturas Africanas de Língua Portuguesa, Metodologia da Pesquisa/TCC, Tópicos em Projetos Especiais, Estrutura e Funcionamento da Educação Básica, Literatura Brasileira V, Literatura Infantojuvenil, Pragmática, Sociolinguística, Sociologia da Educação, Gestão Educacional, Língua Brasileira de Sinais (LIBRAS)",2480
Bacharelado em Administração Pública - João Pessoa (2013.1),2013,1,"Filosofia e Ética, Introdução à Economia, Matemática Básica, Metodologia de Estudo e de Pesquisa em Administração, Psicologia Organizacional, Seminário Integrador I, Teorias da Administração I, Ciência Política, Contabilidade Geral, Macroeconomia, Matemática para Administradores, Seminário Integrador II, Teorias da Administração II, Contabilidade Pública, Economia Brasileira, Instituições de Direito Público e Privado, Seminário Integrador III, Sociologia Organizacional, Teorias da Administração Pública, Direito Administrativo, Estatística Aplicada à Administração, Organização, Processos e Tomada de Decisão, Seminário Integrador IV, Sistema de Informação e Comunicação - SIC para o Setor Público, Teoria das Finanças Públicas, Direito Empresarial, Estágio Curricular Supervisionado I, Gestão de Operações e Logística I, Gestão de Pessoas no Setor Público, Matemática Financeira e Análise de Investimentos, Planejamento e Programação na Administração Pública, Seminário Temático (Pessoas) LFE I, Administração Estratégica, Direito e Legislação Tributária, Elaboração e Gestão de Projeto, Estágio Curricular Supervisionado II, Gestão de Operações e Logística II, Orçamento Público, Seminário Temático (Operações) LFE II, Auditoria e Controladoria, Empreendedorismo Governamental, Gestão da Regulação, Negociação e Arbitragem, Seminário Temático (Financeira) LFE III, Tecnologia e Inovação, Gestão da Qualidade no Setor Público, Políticas Públicas e Sociedade, Relações Internacionais, Seminário Temático (Marketing) LFE IV, Gestão Ambiental e Sustentabilidade, Licitação, Contratos e Convênios, Informática para Administradores, Libras, Redação Oficial",2890
Mestrado Acadêmico em Engenharia Elétrica - João Pessoa (2011.2),2011,2,"Exame de Qualificação, Pesquisa para Dissertação, Análise de Sinais e Sistemas Lineares, Antenas, Comunicações Móveis, Comunicações Ópticas, Dispositivos de Microondas, Eletromagnetismo Avançado, Ensaios Eletromagnéticos Não Destrutivos, Inteligência Computacional, Materiais Eletromagnéticos, Métodos Númericos, Processamento Analógico de Sinais I, Processamento Analógico de Sinais II, Processamento Digital de Imagens, Processamento Digital de Sinais, Processamento Digital de Sinais de Voz, Propagação, Tópicos Especiais em Aplicações Industriais em Microondas, Tópicos Especiais em EMC/EMI, Tópicos Especiais em Novas Tecnologias de Comunicação Sem Fio, Tópicos Especiais em Processamento de Sinais I, Tópicos Especiais em Processamento de Sinais II",360
Técnico em Pesca Subsequente - Cabedelo Centro/Lucena,2015,2,"Biologia Aquática e Pesqueira, Cidadania e Direitos Humanos, Informática Aplicada, Introdução a Pesca e Recursos Pesqueiros, Limnologia, Máquinas e Motores Aplicados a Pesca, Marinha e Arte Naval, Matemática Aplicada, Tecnologia do Pescado, Artes de Pesca, Comunicação em Pesca, Eletrificação e Refrigeração nas Embarcações, Estabilidade, Estatística e Monitoramento Pesqueiro, Extensão Pesqueira, Navegação, Português Aplicado, Empreendedorismo, Gestão e Economia Pesqueiro, Higiene e Segurança, Inglês Instrumental, Legislação Aquaviária e Pesqueira, Metodologia Cientifica, Oceanografia e Metereologia, Relação Humana no Trabalho, Segurança no Meio Aquaviário, Técnicas de Sobrevivência Pessoal",993
Técnico em Informática Integrado - Campina Grande,2010,2,"Algoritmos e Lógica de Programação, Artes, Biologia I, Educação Física I, Filosofia I, Física I, Fundamentos de Informática, Geografia I, História I, Língua Portuguesa e Literatura Brasileira I, Matemática I, Química I, Redes de Computadores, Sociologia I, Banco de Dados, Biologia II, Educação Física II, Estrutura de Dados, Filosofia II, Física II, Geografia II, História II, Língua Estrangeira Moderna -  Inglês I, Língua Portuguesa e Literatura Brasileira II, Matemática II, Metodologia da Pesquisa Científica, Programação Orientada a Objetos, Química II, Sistemas Operacionais, Sociologia II, Análise e Projeto de Sistema, Biologia III, Desenvolvimento de Aplicações Web, Educação Física III, Empreendedorismo, Filosofia III, Física III, Geografia III, História III, Língua Estrangeira Moderna - Inglês II, Língua Portuguesa e Literatura Brasileira III, Matemática III, Química III, Sociologia III, Tópicos Especiais em Informática, Língua Espanhola",3575
Técnico em Petróleo e Gás Integrado - Campina Grande,2009,2,"Artes, Biologia I, Desenho Básico, Educação Física I, Filosofia I, Física I, Geografia I, História I, Informática Básica, Língua Portuguesa e Literatura Brasileira I, Matemática I, Metrologia, Química I, Sociologia I, Biologia II, Educação Física II, Filosofia II, Física II, Geografia II, Geologia do Petróleo, História II, Língua Estrangeira Moderna -  Inglês I, Língua Portuguesa e Literatura Brasileira II, Matemática II, Materiais para a Indústria do Petróleo, Metodologia da Pesquisa Científica, Perfuração e Completação de Poço, Processamento Primário de Fluidos, Psicologia e Trabalho, Química II, Sistemas Hidropneumáticos, Sociologia II, Tubulações Industriais, Análises Laboratoriais de Rochas e Fluidos, Armazenamento e Transporte de Petróleo e Derivados, Avaliação de Formação e Comportamento de Reservátorio, Biologia III, Educação Física III, Eletroeletrônica, Empreendedorismo, Filosofia III, Física III, Geografia III, Gestão Organizacional e Segurança do Trabalho, História III, Língua Estrangeira Moderna - Inglês II, Língua Portuguesa e Literatura Brasileira III, Manutenção Eletromecânica de Equipamentos de Superfície, Matemática III, Planejamento e Gerenciamento Ambiental, Química do Petróleo, Química III, Sociologia III, Língua Espanhola",3910
Técnico em Informática Subsequente - Campina Grande,2015,2,"Algorítimos e Lógica de Programação, Fundamentos de Hardware, Fundamentos de Informática, Inglês Instrumental, Meio Ambiente, Português Instrumental, Estrutura de Dados, Programação Orientada a Objetos, Redes de Computadores, Relações Humanas no Trabalho, Sistemas Operacionais, Análise e Projeto de Sistema, Banco de Dados, Desenvolvimento de Aplicações Web, Empreendedorismo, Metodologia da Pesquisa Científica, Tópicos Especiais em Informática, Língua Espanhola",1034
Técnico em Edificações Integrado - Princesa Isabel,2009,2,"Artes, Biologia I, Desenho Básico e Técnico, Educação Física I, Física I, Geografia I, História I, Informática Básica, Língua Portuguesa e Literatura Brasileira I, Matemática I, Química I, Tecnologia das Construções I, Biologia II, Desenho Arquitetônico, Desenho Auxiliado por Computador, Educação Física II, Física II, Geografia II, História II, Língua Estrangeira Moderna -  Inglês I, Língua Portuguesa e Literatura Brasileira II, Matemática II, Química II, Topografia, Biologia III, Educação Física III, Estabilidade e Concreto, Filosofia I, Física III, Geografia III, História III, Língua Estrangeira Moderna - Inglês II, Língua Portuguesa e Literatura Brasileira III, Matemática III, Materiais de Construção Civil, Mecânica dos Solos, Metodologia da Pesquisa Científica, Projeto Arquitetônico, Química III, Sociologia I, Tecnologia da Qualidade, Construção Civil e Meio Ambiente, Desenho de Estruturas, Empreendedorismo, Filosofia II, Higiene e Segurança no Trabalho, Instalações Elétricas, Instalações Hidrossanitárias, Língua Portuguesa e Literatura Brasileira IV, Matemática IV, Planejamento e Orçamento de Obras, Sociologia II, Tecnologia das Construções II, Língua Espanhola",3480
Técnico em Manutenção e Suporte em Informática Integrado - Campina Grande,2009,2,"Artes, Biologia I, Educação Física I, Filosofia I, Física I, Fundamentos de Eletricidade, Fundamentos de Redes de Computadores, Geografia I, Higiene e Segurança do Trabalho, História I, Introdução à Informática, Língua Portuguesa e Literatura Brasileira I, Matemática I, Química I, Sistemas Digitais, Sociologia I, Biologia II, Educação Física II, Eletrônica Analógica, Filosofia II, Física II, Geografia II, História II, Infraestrutura de Redes de Computadores, Laboratório de Sistemas Operacionais, Língua Estrangeira Moderna -  Inglês I, Língua Portuguesa e Literatura Brasileira II, Manutenção e Suporte de Hardware I, Matemática II, Metodologia da Pesquisa Científica, Química II, Sociologia II, Tópicos Especiais I, Administração de Sistemas Operacionais Abertos, Administração de Sistemas Operacionais Proprietários, Biologia III, Educação Física III, Empreendedorismo, Filosofia III, Física III, Geografia III, História III, Língua Estrangeira Moderna - Inglês II, Língua Portuguesa e Literatura Brasileira III, Manutenção e Suporte de Hardware II, Matemática III, Química III, Sociologia III, Tópicos Especiais II, Língua Espanhola",3609
Técnico em Edificações Subsequente - João Pessoa,2000,2,"Desenho Técnico I, Física Aplicada, Informática Aplicada, Inglês Técnico, Língua Portuguesa, Matemática Aplicada, Psicologia do Trabalho, Química Aplicada, Desenho Auxiliado por Computador I - CAD I, Desenho Técnico II, Estabilidade e Concreto, Higiene e Segurança no Trabalho, Materiais de Construção Civil I, Tecnologia da Qualidade, Desenho Auxiliado por Computador II - CAD II, Materiais de Construção Civil II, Mecânica dos Solos, Tecnologia das Construções e Orçamentos, Topografia, Administração, Planejamento e Legalização de Obras, Desenho Arquitetônico, Desenho de Estruturas, Empreendedorismo, Projeto Hidrossanitário, Projetos Elétricos",1264
Técnico em Instrumento Musical Integrado - João Pessoa,2008,1,"Biologia I, Educação Física I, Filosofia I, Física I, Geografia I, História da Arte e da Música, História I, Informática Básica, Instrumento I, Língua Portuguesa e Literatura Brasileira I, Matemática I, Percepção I, Prática Profissional I, Química I, Sociologia I, Teoria Musical I, Biologia II, Educação Física II, Filosofia II, Física II, Geografia II, História da Música Brasileira e Paraibana, História II, Instrumento II, Língua Portuguesa e Literatura Brasileira II, Matemática II, Percepção II, Prática Profissional II, Química II, Sociologia II, Teoria Musical II, Biologia III, Educação Física III, Filosofia III, Física III, História III, Inglês Instrumental I, Instrumento III, Língua Portuguesa e Literatura Brasileira III, Matemática III, Percepção III, Prática Profissional III, Química III, Sociologia III, Teoria Musical III, Artes, Educação e Trabalho, Elaboração de Projetos Culturais, Empreendedorismo, Filosofia IV, Inglês Instrumental II, Instrumento IV, Língua Portuguesa e Literatura Brasileira IV, Matemática IV, Percepção IV, Prática Profissional IV, Preparação para o Palco / Performance, Sociologia IV, Teoria Musical IV, Espanhol Instrumental I, Espanhol Instrumental II, Instrumento I - Baixo Elétrico, Instrumento I - Bandolim, Instrumento I - Bateria, Instrumento I - Canto, Instrumento I -Cavaquinho, Instrumento I - Clarinete, Instrumento I - Contrabaixo Acústico, Instrumento I - Contrabaixo Elétrico, Instrumento I - Guitarra Elétrica, Instrumento II - Baixo Elétrico, Instrumento II - Bandolim, Instrumento II - Bateria, Instrumento II - Canto, Instrumento II - Cavaquinho, Instrumento II - Clarinete, Instrumento II - Contrabaixo, Instrumento II - Guitarra Elétrica, Instrumento III - Baixo Elétrico, Instrumento III - Bandolim, Instrumento III - Bateria, Instrumento III - Canto, Instrumento III - Cavaquinho, Instrumento III - Clarinete, Instrumento III - Contrabaixo, Instrumento III - Guitarra Elétrica, Instrumento III - Piano, Instrumento III - Saxofone, Instrumento III - Trompete, Instrumento III - Viola, Instrumento III - Violão, Instrumento III - Violino, Instrumento III - Violoncelo, Instrumento II - Piano, Instrumento II - Saxofone, Instrumento II - Trompete, Instrumento II - Viola, Instrumento II - Violão, Instrumento II - Violino, Instrumento II - Violoncelo, Instrumento I - Piano, Instrumento I - Saxofone, Instrumento I - Trompete, Instrumento IV - Baixo Elétrico, Instrumento IV - Bandolim, Instrumento IV - Bateria, Instrumento IV - Canto, Instrumento IV - Cavaquinho, Instrumento IV - Clarinete, Instrumento IV - Contrabaixo, Instrumento IV - Guitarra Elétrica, Instrumento I - Viola, Instrumento I - Violão, Instrumento I - Violino, Instrumento I - Violoncelo, Instrumento IV - Piano, Instrumento IV - Saxofone, Instrumento IV - Trompete, Instrumento IV - Viola, Instrumento IV - Violão, Instrumento IV - Violino, Instrumento IV - Violoncelo",3878
Técnico em Mecânica Integrado - João Pessoa,2006,1,"Artes, Desenho Básico e Técnico, Educação Física I, Filosofia I, Física I, Geografia I, História I, Informática Básica, Língua Portuguesa e Literatura Brasileira I, Matemática I, Metrologia, Química I, Sociologia I, Tecnologia dos Materiais, Biologia I, Desenho Técnico, Educação Física II, Filosofia II, Física II, Geografia II, História II, Inglês Instrumental I, Laboratório Materiais, Língua Portuguesa e Literatura Brasileira II, Matemática II, Química II, Sociologia II, Tecnologia Mecânica, Ajustagem, Biologia II, Controle Estatístico de Processos, Desenho Auxiliado por Computador - 2D, Educação Física III, Eletricidade Aplicada, Filosofia III, Física III, Inglês Instrumental II, Língua Portuguesa e Literatura Brasileira III, Manutenção, Máquinas Térmicas, Matemática III, Mecânica de Fluidos, Mecânica dos Sólidos, Pneumática Básica, Química III, Sociologia III, Soldagem Elétrica, Tornearia I, Biologia III, Comando Númerico Computadorizado, Controladores Lógicos Programáveis, Desenho Auxiliado por Computador - 3D, Elementos de Máquina, Eletroerosão, Eletropneumática, Empreendedorismo, Filosofia IV, Fresagem, Fundição, Hidráulica Básica, Higiene e Segurança no Trabalho, Matemática IV, Motores de Combustão Interna, Planejamento e Controle da Manutenção, Qualidade em Processos e Serviços, Refrigeração, Sociologia IV, Soldagem Oxiacetilênica, TCC/Metodologia do Trabalho Científico, Tornearia II, Trabalho e Educação, Espanhol Instrumental I, Espanhol Instrumental II, Iniciação ao Xadrez",3894
Técnico em Eventos Integrado (PROEJA) - João Pessoa,2009,1,"Geografia I, História I, Informática Básica I, Introdução a Eventos, Língua Estrangeira Moderna -  Espanhol I, Língua Portuguesa e Literatura Brasileira I, Matemática I, Prática Integradora I - Profissão e Autonomia, Prática Profissional em Eventos I, Biologia I, Geografia II, História II, Informática Básica II, Língua Estrangeira Moderna -  Espanhol II, Língua Portuguesa e Literatura Brasileira II, Matemática II, Planejamento e Organização de Eventos I, Prática Integradora II - Profissão e Autonomia, Prática Profissional em Eventos II, Biologia II, Filosofia, Física I, Língua Portuguesa e Literatura Brasileira III, Matemática III, Planejamento e Organização de Eventos II, Prática Integradora III - Profissão e Autonomia, Prática Profissional em Eventos III, Protocolo e Cerimonial I, Química I, Artes, Física II, Informática Aplicada I, Língua Portuguesa e Literatura Brasileira IV, Matemática IV, Planejamento e Organização de Eventos III, Prática Integradora IV - Profissão e Autonomia, Prática Profissional em Eventos IV, Protocolo e Cerimonial II, Química II, Sociologia, Empreendedorismo em Eventos, Física III, Gestão de Alimentos e Bebidas, Língua Estrangeira Moderna - Inglês I, Língua Portuguesa e Literatura Brasileira V, Matemática V, Planejamento e Organização de Eventos IV, Prática Integradora V - Profissão e Autonomia, Prática Profissional em Eventos V, Química III, Biologia III, Física IV, Língua Estrangeira Moderna - Inglês II, Língua Portuguesa e Literatura Brasileira VI, Marketing em Eventos, Matemática VI, Metodologia do Trabalho Científico, Prática Integradora VI - Profissão e Autonomia, Prática Profissional em Eventos VI, Segurança em Eventos, Informática Aplicada II, Prática Profissional em Eventos VII",2354
